Estación:       BAHIA DE KINO,  SON
Operada por:    SMN EMAS
Longitud:       111°08'13"  Latitud: 29°00'48"  Altitud: 

DD/MM/AAAA HH:MM      DIRS      DIRR      VELS      VELR      TEMP        HR        PB      PREC   RAD-SOL
25/01/2018 22:00       203       210     10.67     20.50      28.6        10     996.8       0.0     455.5
25/01/2018 23:00       203       213     12.24     20.50      28.1        10     996.7       0.0     294.2
26/01/2018 00:00       204       196     17.37     26.30      24.7        22     997.0       0.0      86.0
26/01/2018 01:00       213       210     11.80     18.00      19.0        32     997.6       0.0      -0.5
26/01/2018 02:00       232       234      4.76     13.00      15.5        40     998.2       0.0      -1.0
26/01/2018 03:00        76        46      4.31     11.20      13.5        44     998.6       0.0      -1.0
26/01/2018 04:00        26        18      6.67     11.20      12.1        46     998.7       0.0      -1.0
26/01/2018 05:00        82        79      3.12      9.70       9.9        52     998.9       0.0      -1.0
26/01/2018 06:00        94       127      3.14      6.80       7.7        61     999.3       0.0      -1.0
26/01/2018 07:00        36        33      1.68      4.30       7.1        63     999.3       0.0      -1.0
26/01/2018 08:00        60       346      3.61      7.90       6.0        62     999.2       0.0      -1.0
26/01/2018 09:00        76        89      5.19      9.00       4.8        64     999.1       0.0      -1.0
26/01/2018 10:00        45        45      4.96      9.00       4.7        67     999.1       0.0      -1.0
26/01/2018 11:00        76        51      4.72     11.20       3.8        68     999.0       0.0      -1.0
26/01/2018 12:00        70        72      8.52     16.20       3.7        66     999.2       0.0      -1.0
26/01/2018 13:00        81        85      4.85     14.40       4.0        57     999.6       0.0      -1.0
26/01/2018 14:00        80        73      7.17     11.20       3.7        60    1000.3       0.0      20.0
26/01/2018 15:00       104        66      6.24     11.90       9.3        42    1000.9       0.0     180.3
26/01/2018 16:00        82        87     11.54     18.70      15.5        27    1001.3       0.0     374.5
26/01/2018 17:00        79        79      8.43     14.80      19.8        21    1001.8       0.0     562.8
26/01/2018 18:00       146        33      2.70     13.00      22.8        18    1001.6       0.0     706.3
26/01/2018 19:00       215       217               14.00      24.5        16    1000.9       0.0     757.8
26/01/2018 20:00       222       228      8.79     19.10      25.8        13     999.8       0.0     734.3
26/01/2018 21:00       227       238     13.32     25.20      26.2        13     999.0       0.0     636.2
26/01/2018 22:00       240       262     12.62     22.00      25.8        14     998.6       0.0     455.3
26/01/2018 23:00       243       240     12.32     28.10      25.4        12     998.6       0.0     304.5
27/01/2018 00:00       255       241      9.87     18.40      23.6        12     998.6       0.0      91.0
27/01/2018 01:00       260       257     11.42     25.60      19.9        18     998.9       0.0      -0.5
27/01/2018 02:00       273       273     13.54     22.30      18.4        39     999.4       0.0      -1.0
27/01/2018 03:00       255       275      5.77     14.80      15.3        51     999.7       0.0      -1.0
27/01/2018 04:00       269       256      5.19      8.30      12.5        62     999.9       0.0      -1.0
27/01/2018 05:00       244       248      5.50      9.40      10.5        68    1000.2       0.0      -1.0
27/01/2018 06:00       183       248      3.46      9.70       8.3        72    1000.2       0.0      -1.0
27/01/2018 07:00       159        84      3.56      8.60       7.1        75     999.8       0.0      -1.0
27/01/2018 08:00       160       184      2.88      6.10       5.7        84     999.7       0.0      -1.0
27/01/2018 09:00       103        93      3.85      8.60       5.1        84     999.9       0.0      -1.0
27/01/2018 10:00       129       122      3.63      7.90       4.3        83     999.6       0.0      -1.0
27/01/2018 11:00        87        81      4.19      9.40       3.4        87     999.4       0.0      -1.0
27/01/2018 12:00        66        92      3.81      8.30       3.5        87     999.2       0.0      -1.0
27/01/2018 13:00        52       108      4.13      7.90       2.7        87     999.5       0.0      -1.0
27/01/2018 14:00       204       349      4.55     12.20       3.5        81    1000.4       0.0      19.8
27/01/2018 15:00        45        35      4.19     10.40       8.4        58    1000.9       0.0     178.2
27/01/2018 16:00        54        57                8.30      14.6        38    1001.3       0.0     372.7
27/01/2018 17:00       106       349               11.20      18.8        26    1001.3       0.0     561.7
27/01/2018 18:00       176       225               12.20      22.2        20    1000.8       0.0     703.3
27/01/2018 19:00       237       214               15.10      24.2               999.7       0.0     760.5
27/01/2018 20:00       258       264      8.21     20.20      26.4        12     998.4       0.0     741.2
27/01/2018 21:00       265       281      8.71     19.10      27.5        10     997.5       0.0     642.8
27/01/2018 22:00       256       278     10.30     19.80      28.1        10     996.9       0.0     458.3
27/01/2018 23:00       256       255     13.07     24.50      27.9        10     996.7       0.0     311.0
28/01/2018 00:00       262       263     18.70     29.50      25.7        15     996.8       0.0      95.2
28/01/2018 01:00       263       263     14.68     29.90      21.8        23     997.3       0.0      -0.2
28/01/2018 02:00       267       273      9.03     17.60      18.5        30     997.8       0.0      -1.0
28/01/2018 03:00       230       284      2.85      7.20      14.5        40     998.0       0.0      -1.0
28/01/2018 04:00       230       180      4.92      8.60      12.1        46     998.1       0.0      -1.0
28/01/2018 05:00       196       198      4.47      9.00       9.7        53     998.3       0.0      -1.0
28/01/2018 06:00       131       131      6.79     11.50       9.1        55     998.3       0.0      -1.0
28/01/2018 07:00       139       174      4.36      6.80       7.3        60     998.0       0.0      -1.0
28/01/2018 08:00       108       110      6.25      8.60       6.9        63     997.9       0.0      -1.0
28/01/2018 09:00        55        96      3.47      8.60       5.8        64     997.7       0.0      -1.0
28/01/2018 10:00        37        71      2.42     10.80       5.5        65     997.4       0.0      -1.0
28/01/2018 11:00        40        55      4.25      7.90       5.1        70     997.4       0.0      -1.0
28/01/2018 12:00       345       355      5.20     11.90       4.6        72     997.5       0.0      -1.0
28/01/2018 13:00        54        35      5.56      9.70       5.4        68     997.8       0.0      -1.0
28/01/2018 14:00        75        62      2.89      9.70       4.5        64     998.5       0.0      20.5
28/01/2018 15:00        73         3      3.99      8.60       9.5        45     998.9       0.0     179.3
28/01/2018 16:00        79        79      1.61      8.60      17.1        22     999.3       0.0     372.5
28/01/2018 17:00       281       297      3.37      8.60      21.3        18     999.3       0.0     561.5
28/01/2018 18:00       260       205      5.20     12.20      24.7        13     998.9       0.0     705.0
28/01/2018 19:00       244       224      6.26     14.00      27.3         9     997.7       0.0     760.7
28/01/2018 20:00       218       259      5.56     15.80      29.6         8     996.5       0.0     741.2
28/01/2018 21:00       222       220      7.02     17.60      30.7         7     995.7       0.0     642.0
28/01/2018 22:00       249       244      9.87     19.40      30.7         7     995.2       0.0     457.0
28/01/2018 23:00       260       271     13.16     21.60      30.3         7     995.1       0.0     308.0
29/01/2018 00:00       262       257     14.84     27.70      28.4         9     995.2       0.0      98.2
29/01/2018 01:00       268       262     14.64     25.20      23.9        18     995.7       0.0      -0.2
29/01/2018 02:00       283       276      9.57     19.10      20.5        25     996.1       0.0      -1.0
29/01/2018 03:00       242       197      4.86      8.60      16.9        33     996.7       0.0      -1.0
29/01/2018 04:00       199       184      4.15     10.10      13.3        40     997.1       0.0      -1.0
29/01/2018 05:00       137       182      4.14      7.20      12.0        42     997.3       0.0      -1.0
29/01/2018 06:00        99        82      4.91      8.30      10.4        48     997.4       0.0      -1.0
29/01/2018 07:00       340       329      1.24      9.40       8.7        54     997.2       0.0      -1.0
29/01/2018 08:00        27       336      4.29     10.80       8.7        53     997.2       0.0      -1.0
29/01/2018 09:00        53        47      5.61     10.10       8.4        50     997.1       0.0      -1.0
29/01/2018 10:00        58       358      4.19      6.80       7.6        53     996.8       0.0      -1.0
29/01/2018 11:00        72       337      3.59      6.50       7.4        51     996.8       0.0      -1.0
29/01/2018 12:00        61        58      4.50      8.30       6.9        54     997.2       0.0      -1.0
29/01/2018 13:00       338       348      7.41     11.20       8.2        53     997.8       0.0      -1.0
29/01/2018 14:00       184       357      0.57      7.90       8.0        46     998.5       0.0      23.3
29/01/2018 15:00        49        45      8.01     19.10      15.1        30     999.1       0.0     134.7
29/01/2018 16:00        58        63     16.39     30.60      25.7        12     999.7       0.0     352.8
29/01/2018 17:00        58        56     18.97     33.10      28.2        12    1000.2       0.0     549.0
29/01/2018 18:00        48        52     21.89     38.90      30.0        11    1000.0       0.0     689.8
29/01/2018 19:00        44        35     21.91     37.10      31.6        11     999.2       0.0     759.3
29/01/2018 20:00        44        24     17.81     36.70      32.8        10     998.0       0.0     743.3
29/01/2018 21:00        48        54     12.98     25.60      33.9        10     997.2       0.0     634.0
29/01/2018 22:00        52        58     12.43     24.80      34.3         9     996.5       0.0     438.5
29/01/2018 23:00        42        75     13.58     24.10      33.9         9     996.0       0.0     297.0
30/01/2018 00:00        45        39      9.66     23.80      32.3        10     996.0       0.0      90.0
30/01/2018 01:00        31        51      7.07     11.90      27.5        14     996.2       0.0      -0.5
30/01/2018 02:00        26        43      8.73     11.50      23.8        17     996.6       0.0      -1.0
30/01/2018 03:00       205       199      7.14     22.30      20.4        24     997.2       0.0      -1.0
30/01/2018 04:00       211       202      5.17     11.90      18.3        32     997.8       0.0      -1.0
30/01/2018 05:00       175       133      4.28      7.60      16.0        35     998.2       0.0      -1.0
30/01/2018 06:00       190       188      3.13      6.80      12.8        44     998.4       0.0      -1.0
30/01/2018 07:00        95        85      4.66      9.70      11.8        46     998.5       0.0      -1.0
30/01/2018 08:00       358       346      5.32     10.80      10.9        46     998.3       0.0      -1.0
30/01/2018 09:00        31        47      7.28     11.50      11.8        45     998.0       0.0      -1.0
30/01/2018 10:00        46        45      5.53     10.80      10.6        45     997.6       0.0      -1.0
30/01/2018 11:00        35        39      7.98     13.00      10.0        47     997.5       0.0      -1.0
30/01/2018 12:00        26        45      6.12     11.90       9.7        48     997.6       0.0      -1.0
30/01/2018 13:00       275        23      0.45      9.00       8.4        50     998.1       0.0      -1.0
30/01/2018 14:00       211       214      3.38      6.80       8.9        48     998.4       0.0      20.5
30/01/2018 15:00       168       115      3.49     10.10      15.0        32     998.8       0.0     176.0
30/01/2018 16:00        65        55     11.73     26.60      23.6        16     999.2       0.0     364.5
30/01/2018 17:00        61        58     16.88     28.80      26.8        14     999.2       0.0     558.0
30/01/2018 18:00        59        61     14.30     27.00      28.4        13     998.6       0.0     703.3
30/01/2018 19:00        96        79      5.77     19.40      30.4        12     997.6       0.0     771.2
30/01/2018 20:00        96        35      3.27     14.40      32.3        11     996.3       0.0     749.7
30/01/2018 21:00       210       208      6.34     15.50      33.5        10     995.4       0.0     645.3
30/01/2018 22:00       251       251      7.49     16.90      33.5         9     994.8       0.0     444.0
30/01/2018 23:00       254       286     12.11     21.20      32.5         9     994.4       0.0     307.5
31/01/2018 00:00       249       282     10.08     24.10      30.3        11     994.1       0.0      96.8
31/01/2018 01:00       229       236     10.35     15.50      25.5        15     994.4       0.0       0.0
