72365 ABQ Albuquerque Observations at 00Z 22 Dec 2017

   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV                                                              
  828.0   1619    8.2   -4.8     39   3.25    355     16  296.9  306.9  297.5
  821.0   1689    6.4   -7.6     36   2.64    352     16  295.8  303.9  296.2
  790.0   2004    3.6   -8.4     41   2.58    340     18  296.0  304.0  296.5
  777.5   2134    3.6   -9.0     39   2.50    335     18  297.4  305.2  297.8
  769.0   2223    3.6   -9.4     38   2.45    313     17  298.3  306.0  298.8
  754.0   2383    2.2   -9.8     41   2.42    274     15  298.5  306.1  298.9
  748.9   2438    2.8  -10.7     36   2.27    260     14  299.7  306.9  300.1
  747.0   2459    3.0  -11.0     35   2.22    258     14  300.1  307.2  300.6
  739.0   2546    2.8  -11.2     35   2.21    251     15  300.9  307.9  301.3
  721.2   2743    1.0  -11.9     37   2.13    235     18  301.0  307.8  301.4
  704.0   2937   -0.7  -12.7     40   2.06    219     26  301.2  307.8  301.6
  700.0   2983   -0.7  -13.7     37   1.91    215     28  301.7  307.8  302.0
  696.0   3029   -0.9  -14.9     34   1.74    214     29  301.9  307.6  302.3
  653.0   3534   -5.5  -16.5     42   1.62    207     37  302.3  307.6  302.6
  642.7   3658   -6.2  -18.3     38   1.41    205     39  302.9  307.6  303.2
  635.0   3753   -6.7  -19.7     35   1.27    204     39  303.4  307.6  303.6
  594.0   4267  -11.6  -20.8     47   1.24    200     42  303.5  307.6  303.8
  582.0   4425  -13.1  -21.1     51   1.23    203     44  303.5  307.6  303.8
  570.8   4572  -14.5  -21.0     58   1.26    205     45  303.6  307.8  303.8
  558.0   4744  -16.1  -20.9     67   1.30    211     48  303.7  308.0  303.9
  548.3   4877  -16.3  -25.5     45   0.88    215     50  305.0  308.0  305.2
  536.0   5047  -16.5  -31.5     26   0.52    221     58  306.7  308.5  306.8
  525.0   5203  -17.5  -34.5     21   0.39    226     66  307.3  308.8  307.4
  519.0   5289  -15.7  -45.7      6   0.12    229     70  310.5  311.0  310.5
  505.6   5486  -16.4  -59.8      1   0.02    235     80  312.0  312.1  312.0
  504.0   5510  -16.5  -61.5      1   0.02    235     80  312.1  312.2  312.1
  500.0   5570  -16.9  -60.9      1   0.02    235     80  312.4  312.5  312.4
  465.5   6096  -21.1  -62.1      1   0.02    235     82  313.5  313.6  313.5
  434.0   6612  -25.3  -63.3      2   0.02    235     88  314.6  314.7  314.6
  412.0   6987  -26.9  -65.9      1   0.01    235     92  317.2  317.3  317.3
  405.0   7111  -26.3  -64.3      2   0.02    235     94  319.6  319.7  319.6
  400.0   7200  -27.1  -63.1      2   0.02    235     95  319.7  319.8  319.7
  380.0   7567  -30.3  -62.3      3   0.02    231     95  320.2  320.3  320.2
  377.1   7620  -30.6  -61.4      3   0.03    230     95  320.5  320.6  320.5
  363.0   7890  -32.1  -57.1      7   0.05    229     99  322.0  322.2  322.0
  353.0   8087  -31.9  -60.9      4   0.03    228    102  324.8  325.0  324.9
  344.0   8269  -33.3  -59.3      6   0.04    227    105  325.4  325.5  325.4
  322.0   8731  -34.9  -55.9     10   0.06    225    112  329.3  329.6  329.4
  317.0   8839  -35.8  -55.7     11   0.06    225    114  329.6  329.9  329.6
  303.3   9144  -38.3  -55.1     15   0.07    225    113  330.3  330.6  330.3
  300.0   9220  -38.9  -54.9     17   0.07    225    112  330.4  330.7  330.4
  282.0   9644  -42.7  -55.7     23   0.07    223    113  330.9  331.2  330.9
  253.3  10363  -49.1  -61.2     23   0.04    220    115  331.7  331.9  331.7
  251.0  10423  -49.7  -61.7     23   0.04    220    115  331.7  331.9  331.7
  250.0  10450  -49.9  -61.9     23   0.04    220    115  331.8  331.9  331.8
  236.0  10824  -52.7  -64.7     22   0.03    220    106  333.0  333.1  333.0
  233.0  10906  -52.9  -65.9     19   0.02    220    105  333.9  334.1  333.9
  230.0  10990  -51.7  -65.7     17   0.02    220    103  337.0  337.1  337.0
  225.0  11132  -50.7  -66.7     13   0.02    220     99  340.7  340.8  340.7
  220.0  11278  -51.8  -69.0     11   0.02    220     96  341.2  341.3  341.2
  213.0  11487  -53.3  -72.3      8   0.01    218     96  342.0  342.0  342.0
  200.1  11887  -54.9  -74.9      7   0.01    215     96  345.6  345.7  345.6
  200.0  11890  -54.9  -74.9      7   0.01    215     97  345.7  345.7  345.7
  196.0  12019  -55.7  -75.7      7   0.01    215     93  346.4  346.4  346.4
