72365 ABQ Albuquerque Observations at 00Z 22 Jun 2017

   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
  834.0   1619   37.6    2.6     11   5.56    275      4  327.3  346.1  328.4
  823.0   1740   35.2    3.2     14   5.89    341      5  326.0  345.8  327.2
  814.9   1829   34.2    2.7     14   5.75     30      5  325.9  345.2  327.0
  787.7   2134   31.0    1.1     15   5.31      0      5  325.6  343.4  326.6
  775.0   2280   29.4    0.4     15   5.11    336      5  325.4  342.6  326.4
  761.1   2438   27.9   -0.0     16   5.04    310      6  325.5  342.5  326.5
  735.1   2743   25.0   -0.8     18   4.92    290      7  325.6  342.2  326.6
  700.0   3172   21.0   -2.0     21   4.74    270     11  325.7  341.8  326.6
  661.2   3658   16.2   -3.5     26   4.50    260      9  325.6  340.9  326.5
  643.0   3896   13.8   -4.2     28   4.38    256      6  325.5  340.4  326.4
  614.6   4267   10.2   -5.1     34   4.28    250      2  325.6  340.2  326.5
  570.7   4877    4.3   -6.6     45   4.11    245      7  325.7  339.7  326.5
  543.0   5286    0.4   -7.6     55   4.00    215      6  325.7  339.3  326.5
  517.0   5677   -3.7   -8.4     70   3.95    185      6  325.3  338.8  326.1
  510.0   5784   -4.1   -9.1     68   3.79    177      5  326.1  339.1  326.9
  501.0   5924   -5.9   -9.0     79   3.88    166      5  325.6  338.8  326.4
  500.0   5940   -6.1   -9.2     79   3.83    165      5  325.5  338.6  326.3
  490.2   6096   -6.4  -10.8     71   3.44    200      3  327.1  338.9  327.7
  486.0   6163   -6.5  -11.5     68   3.28    206      3  327.7  339.1  328.4
  479.0   6277   -7.9  -11.4     76   3.36    217      3  327.3  338.9  328.0
  464.0   6525   -9.1  -13.8     69   2.85    242      3  328.8  338.8  329.4
  455.0   6677  -10.7  -14.1     76   2.84    256      3  328.7  338.6  329.2
  406.0   7548  -16.1  -19.3     76   2.06    343      4  332.6  340.0  333.0
  402.1   7620  -16.9  -20.4     74   1.89    350      4  332.5  339.3  332.9
  400.0   7660  -17.3  -21.0     73   1.80    350      3  332.4  339.0  332.8
  387.0   7906  -19.9  -24.3     68   1.39    313      3  332.2  337.3  332.4
  386.0   7925  -20.0  -24.2     69   1.40    310      3  332.3  337.5  332.6
  379.0   8060  -20.5  -23.9     74   1.47    309      6  333.4  338.8  333.6
  371.0   8217  -22.9  -30.9     48   0.79    308      9  332.2  335.2  332.4
  359.0   8457  -23.7  -28.1     67   1.06    306     14  334.3  338.3  334.5
  355.2   8534  -24.4  -29.3     64   0.96    305     16  334.3  337.9  334.5
  346.0   8724  -26.3  -32.3     57   0.74    314     22  334.3  337.1  334.4
  340.5   8839  -25.9  -30.7     64   0.88    320     25  336.3  339.7  336.5
  340.0   8850  -25.9  -30.5     65   0.89    320     25  336.5  339.9  336.7
  328.0   9108  -28.5  -39.5     34   0.38    320     24  336.4  337.9  336.5
  326.4   9144  -28.9  -42.8     25   0.27    320     24  336.3  337.4  336.4
  324.0   9196  -29.5  -47.5     16   0.16    319     24  336.2  336.9  336.2
  317.0   9351  -30.1  -63.1      3   0.02    317     23  337.5  337.6  337.5
  311.0   9486  -30.9  -70.9      1   0.01    314     23  338.2  338.2  338.2
  303.0   9670  -32.5  -70.5      1   0.01    311     22  338.5  338.5  338.5
  300.0   9740  -33.1  -59.1      6   0.04    310     22  338.6  338.8  338.6
  298.0   9787  -33.5  -54.5     10   0.08    312     22  338.7  339.0  338.7
  295.0   9858  -33.7  -40.7     49   0.37    315     22  339.4  340.9  339.5
  292.0   9929  -34.1  -40.1     55   0.40    317     21  339.8  341.4  339.9
